"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"139",2,2,2,0,0,0,1,-2,1,0
"140",2,2,2,0,0,0,1,-2,1,0
"141",2,2,2,0,0,-2,0,-2,1,0
"142",2,2,2,0,0,-2,1,-2,1,0
"143",2,2,2,0,3,-2,1,0,2,0
"144",2,2,2,0,1,-1,1,0,2,0
"145",2,2,2,0,3,-1,1,0,2,0
"146",2,2,2,2,1,-2,1,0,2,2
"147",2,2,2,2,-1,-1,0,0,2,0
"148",3,2,2,2,-1,-1,1,0,2,0
"149",3,2,2,2,-1,-1,1,0,2,0
"150",3,2,2,0,-1,-1,-1,-1,2,0
"151",3,3,2,0,-1,-1,-1,-1,2,2
"152",2,3,2,-2,-1,-1,-1,-1,2,0
"153",2,2,2,-2,-1,-1,-1,-1,2,2
"154",2,2,0,-2,-1,-1,-1,-1,2,2
"155",2,2,0,-1,1,-1,-1,-1,2,2
"156",2,2,0,-1,1,-1,-1,-1,2,2
"157",1,0,0,-2,-1,-1,-1,-1,2,2
"158",0,1,0,-2,-1,-1,-1,-1,2,2
"159",1,0,1,-2,-1,-1,-1,-1,2,2
"160",1,0,1,-1,-1,-1,-1,-1,2,2
"161",-1,0,1,-1,-1,-1,-1,-1,3,3
"162",0,0,1,-2,-2,-1,-1,-1,2,2
"163",0,0,1,0,-2,-1,-1,-1,2,0
"164",0,0,-1,0,-2,-2,-2,-2,1,1
"165",-2,0,0,0,-2,-2,-2,-2,0,0
"166",0,0,0,0,-2,-2,-2,-2,0,0
"167",0,0,0,0,-2,-2,-2,-2,0,0
"168",0,0,0,0,-2,-2,-2,-2,0,0
"169",-2,0,0,0,-2,-2,-2,-2,0,-2
"170",-2,0,0,0,-2,-2,-2,-2,0,-2
"171",-2,0,0,0,-2,-2,-2,-2,0,0
"172",-2,0,0,0,-2,-2,-2,-2,0,-2
"173",-2,0,0,0,-2,-2,-2,-2,0,0
"174",-2,0,0,-1,-2,-2,-2,-2,0,-2
"175",-2,0,0,-1,-2,-2,-2,-2,0,0
"176",-2,2,0,-2,-2,-2,-2,-2,0,0
"177",-2,2,0,-1,-2,-2,-3,-2,0,0
"178",-2,1,-2,0,-2,-2,-2,-2,-2,0
"179",-2,2,-2,0,-2,-2,-2,-2,-2,0
"180",-2,1,-2,0,-2,-2,-2,-2,-2,0
"181",-2,2,-2,2,-2,-2,-2,-2,-2,0
"182",-2,1,-2,1,-2,-3,-3,-2,-2,0
"183",-2,1,-2,2,-2,-2,-3,-2,-2,0
"184",0,2,-2,1,-2,-2,-3,-2,-2,0
"185",0,1,-2,1,-2,-2,-1,-2,-2,0
"186",0,1,-2,1,-3,-3,-1,-2,-2,0
"187",-1,1,-2,1,-3,-2,-1,-2,-2,-3
"188",0,1,-2,2,-2,-2,-1,-2,-2,-2
"189",0,2,-2,2,0,-2,0,-2,-2,0
"190",0,2,-2,2,2,-3,0,-2,-2,-2
"191",0,2,-2,2,2,-3,0,-2,-2,-2
"192",0,2,-2,2,2,0,0,-2,-2,-2
"193",0,2,-2,2,2,0,0,-2,-2,-1
"194",0,2,0,2,2,0,0,-2,-1,-1
"195",0,2,-2,2,2,0,0,-2,-1,-1
"196",0,2,-2,2,2,0,0,-2,-1,-2
"197",0,2,-2,2,2,1,0,-2,-1,-2
"198",2,2,0,2,2,1,-1,0,-1,-2
"199",0,2,-2,2,2,2,0,0,-1,-1
"200",0,2,-2,2,2,0,0,0,-1,-1
"201",0,3,-2,2,2,0,0,0,-1,-1
"202",0,2,-2,3,2,0,0,0,-1,-1
"203",0,2,-2,2,2,2,0,0,-1,-1
"204",0,2,-2,2,2,2,0,0,-1,-1
"205",0,2,-2,2,2,2,0,0,-1,-2
"206",0,2,-2,2,2,2,0,0,-1,-2
"207",0,2,-2,2,2,2,0,2,-1,-2
"208",0,2,-2,2,2,2,0,2,-1,-2
"209",2,2,-2,2,2,2,0,0,-2,-2
"210",2,2,-2,2,2,2,0,0,-2,-2
"211",0,2,-2,2,2,2,0,0,-2,-2
