Date,Open,High,Low,Close,Adj Close,Volume
5/10/2018,70.400002,71.75,69.050003,69.550003,69.550003,1669559
5/11/2018,70,70.699997,69.5,70.099998,70.099998,769026
5/14/2018,70,70.5,68,68.25,68.25,861042
5/15/2018,68.25,71.849998,68.050003,70.400002,70.400002,1690580
5/16/2018,69.949997,73.5,69.199997,72.599998,72.599998,1117346
5/17/2018,73,75.099998,72.099998,72.550003,72.550003,1319661
5/18/2018,72.199997,73.900002,71.550003,72.099998,72.099998,708920
5/21/2018,72,72.5,69.449997,69.949997,69.949997,855429
5/22/2018,69.949997,71.300003,69.050003,69.75,69.75,1353169
5/23/2018,69.349998,71.199997,68.75,69.5,69.5,897132
5/24/2018,69.900002,70.699997,69.300003,70.400002,70.400002,817465
5/25/2018,71.400002,74.050003,71,73.400002,73.400002,1086101
5/28/2018,73.300003,78.900002,73.300003,77.849998,77.849998,1796983
5/29/2018,78,78,75.900002,76.650002,76.650002,781264
5/30/2018,76.5,82.5,75.75,81.75,81.75,5021862
5/31/2018,82,83.400002,80.099998,82.25,82.25,11974619
6/1/2018,81,81.300003,75.150002,75.449997,75.449997,7037093
6/4/2018,75.849998,76.400002,73.25,74.25,74.25,1161995
6/5/2018,73.699997,73.800003,70.650002,71.25,71.25,1005920
6/6/2018,71,74,70.650002,73.800003,73.800003,735503
6/7/2018,74,75.699997,73.150002,74.25,74.25,2747496
6/8/2018,73.800003,75.349998,72.400002,74.900002,74.900002,743593
6/11/2018,74.949997,76.199997,74.599998,75.449997,75.449997,818368
6/12/2018,75.199997,75.849998,73.449997,74.800003,74.800003,714919
6/13/2018,74.599998,75.199997,73.550003,73.75,73.75,804662
6/14/2018,73.25,73.800003,71.599998,72.050003,72.050003,1144855
6/15/2018,72,73.199997,71.150002,72.099998,72.099998,705962
6/18/2018,72,72.400002,69.75,71.849998,71.849998,1177685
6/19/2018,71.5,71.849998,70.150002,71.400002,71.400002,1300118
6/20/2018,71.5,73.400002,71.5,72.550003,72.550003,732758
6/21/2018,72.699997,73,71.25,71.900002,71.900002,1058638
6/22/2018,71.900002,72.199997,70,70.150002,70.150002,1229259
6/25/2018,69.75,70.900002,69.099998,69.400002,69.400002,1105285
6/26/2018,69.099998,69.699997,67.099998,67.550003,67.550003,1061686
6/27/2018,67.449997,67.449997,63,64.300003,64.300003,1816309
6/28/2018,64.550003,65.5,63,64.25,64.25,1421286
6/29/2018,64.599998,66.900002,64.599998,65.599998,65.599998,674683
7/2/2018,65.599998,65.800003,62.650002,62.900002,62.900002,1371484
